hello	relevant	0.49476076092645277	irrelevant	0.5052392390735472
world	relevant	0.49476076092645277	irrelevant	0.5052392390735472
leaf	relevant	0.4569672021434002	irrelevant	0.5430327978565999
today	relevant	0.5384379257048681	irrelevant	0.4615620742951319
sale	relevant	0.49476076092645277	irrelevant	0.5052392390735472
flowers	relevant	0.5234020176601304	irrelevant	0.4765979823398696
great	relevant	0.4569672021434002	irrelevant	0.5430327978565999
yahooooo!!!!	relevant	0.5154840132286956	irrelevant	0.4845159867713043
it's	relevant	0.49765780424988354	irrelevant	0.5023421957501165
helpful	relevant	0.49476076092645277	irrelevant	0.5052392390735472
